Nome farmacia;Indirizzo
Farmacia dott. Martinelli;Corso Vittorio Emanuele II, 236, 37069 Villafranca di Verona VR
Farmacia al Giglio dott. Magalini;Corso Vittorio Emanuele II, 222, 37069 Villafranca di Verona VR
Farmacia Madonna del Popolo;Via Marsala, 23, 37069 Villafranca di Verona VR
Farmacia Mortari;31, Via Pace, 37069 Villafranca di Verona VR
Farmacia Alpo;Via Don Antonio Provolo, 4, 37062 Alpo VR
Farmacia Comunale Dossobuonno;Via Stazione, 34, 37062 Dossobuono VR
Farmacia Peretti;Via Cavour, 86, 37069 Villafranca di Verona VR
Farmacia Pizzoletta;Via Duca Degli Abruzzi, 37069 Pizzoletta VR
Farmacia Parmigiani;Via Edmondo De Amicis, 22, 37069 Villafranca di Verona VR
Farmacia Mercanti;Strada La Rizza, 208, 37069 Rizza VR
